Model,Optimizer,Seed,Temperature,Vocab Diversity,Repetition Rate,Avg Word Length
RNN,adam,محبت,0.7,1.0,0,3.090909090909091
RNN,adam,محبت,1.0,1.0,0,2.727272727272727
RNN,adam,محبت,1.3,1.0,0,3.4545454545454546
RNN,adam,دل,0.7,0.9090909090909091,0,2.6363636363636362
RNN,adam,دل,1.0,1.0,0,3.0
RNN,adam,دل,1.3,1.0,0,3.272727272727273
RNN,adam,شام,0.7,0.9090909090909091,0,2.727272727272727
RNN,adam,شام,1.0,1.0,0,3.3636363636363638
RNN,adam,شام,1.3,1.0,0,3.1818181818181817
RNN,adam,یاد,0.7,0.8181818181818182,0,2.909090909090909
RNN,adam,یاد,1.0,1.0,0,3.090909090909091
RNN,adam,یاد,1.3,1.0,0,4.0
RNN,adam,خوشی,0.7,0.9090909090909091,0,2.5454545454545454
RNN,adam,خوشی,1.0,1.0,0,3.272727272727273
RNN,adam,خوشی,1.3,1.0,0,3.727272727272727
RNN,rmsprop,محبت,0.7,0.9090909090909091,0,2.909090909090909
RNN,rmsprop,محبت,1.0,0.9090909090909091,0,4.090909090909091
RNN,rmsprop,محبت,1.3,0.8181818181818182,0,3.272727272727273
RNN,rmsprop,دل,0.7,0.8181818181818182,0,2.6363636363636362
RNN,rmsprop,دل,1.0,1.0,0,3.0
RNN,rmsprop,دل,1.3,1.0,0,3.3636363636363638
RNN,rmsprop,شام,0.7,1.0,0,2.909090909090909
RNN,rmsprop,شام,1.0,1.0,0,3.1818181818181817
RNN,rmsprop,شام,1.3,1.0,0,4.0
RNN,rmsprop,یاد,0.7,1.0,0,2.272727272727273
RNN,rmsprop,یاد,1.0,0.9090909090909091,0,3.8181818181818183
RNN,rmsprop,یاد,1.3,1.0,0,4.2727272727272725
RNN,rmsprop,خوشی,0.7,0.8181818181818182,0,3.1818181818181817
RNN,rmsprop,خوشی,1.0,1.0,0,3.4545454545454546
RNN,rmsprop,خوشی,1.3,0.9090909090909091,0,3.6363636363636362
RNN,sgd,محبت,0.7,0.8181818181818182,0,2.727272727272727
RNN,sgd,محبت,1.0,0.9090909090909091,0,3.272727272727273
RNN,sgd,محبت,1.3,1.0,0,3.727272727272727
RNN,sgd,دل,0.7,0.8181818181818182,0,2.6363636363636362
RNN,sgd,دل,1.0,1.0,0,2.5454545454545454
RNN,sgd,دل,1.3,1.0,0,3.909090909090909
RNN,sgd,شام,0.7,0.9090909090909091,0,2.909090909090909
RNN,sgd,شام,1.0,1.0,0,3.4545454545454546
RNN,sgd,شام,1.3,1.0,0,3.727272727272727
